GIS 
Multiplex ID,GIS 
Library ID,Sample Name
MUX8041,AFI1240,HO_CY_Le_01
MUX8041,AFI1241,HO_CY_Le_02
MUX8041,AFI1242,HO_CY_Le_03
MUX8041,AFI1243,HO_CY_Le_04
MUX8041,AFI1244,HO_CY_Le_05
MUX8041,AFI1245,HO_CY_Le_06
MUX8041,AFI1246,HO_CY_Le_07
MUX8041,AFI1247,HO_CY_Le_08
MUX8041,AFI1248,HO_CY_Le_09
MUX8041,AFI1249,HO_CY_Le_10
MUX8041,AFI1250,HO_CY_Rh_01
MUX8041,AFI1251,HO_CY_Rh_02
MUX8041,AFI1252,HO_CY_Rh_03
MUX8041,AFI1253,HO_CY_Rh_04
MUX8041,AFI1254,HO_CY_Rh_05
MUX8041,AFI1255,HO_CY_Rh_06
MUX8041,AFI1256,HO_CY_Rh_07
MUX8041,AFI1257,HO_CY_Rh_08
MUX8041,AFI1258,HO_CY_Rh_09
MUX8041,AFI1259,HO_CY_Rh_10
MUX8041,AFI1260,HO_CY_Ro_01
MUX8041,AFI1261,HO_CY_Ro_02
MUX8041,AFI1262,HO_CY_Ro_03
MUX8041,AFI1263,HO_CY_Ro_04
MUX8041,AFI1264,HO_BLANK_01
MUX8041,AFI1265,HO_CY_Ro_05
MUX8041,AFI1266,HO_CY_Ro_06
MUX8041,AFI1267,HO_CY_Ro_07
MUX8041,AFI1268,HO_CY_Ro_08
MUX8041,AFI1269,HO_CY_Ro_09
MUX8041,AFI1270,HO_CY_Ro_10
MUX8041,AFI1271,HO_CY_Soil_01
MUX8041,AFI1272,HO_CY_Soil_02
MUX8041,AFI1273,HO_CY_Soil_03
MUX8041,AFI1274,HO_CY_Soil_04
MUX8041,AFI1275,HO_CY_Soil_05
MUX8041,AFI1276,HO_CY_Soil_06
MUX8041,AFI1277,HO_CY_Soil_07
MUX8041,AFI1278,HO_CY_Soil_08
MUX8041,AFI1279,HO_CY_Soil_09
MUX8041,AFI1280,HO_CY_Soil_10
MUX8041,AFI1281,HO_Sent_Le_01
MUX8041,AFI1282,HO_Sent_Le_02
MUX8041,AFI1283,HO_Sent_Le_03
MUX8041,AFI1284,HO_Sent_Le_04
MUX8041,AFI1285,HO_Sent_Le_05
MUX8041,AFI1286,HO_Sent_Le_06
MUX8041,AFI1287,HO_Sent_Le_07
MUX8041,AFI1288,HO_Sent_Le_08
MUX8041,AFI1289,HO_Sent_Le_09
MUX8041,AFI1290,HO_Sent_Le_10
MUX8041,AFI1291,HO_Sent_Rh_01
MUX8041,AFI1292,HO_Sent_Rh_02
MUX8041,AFI1293,HO_Sent_Rh_03
MUX8041,AFI1294,HO_Sent_Rh_04
MUX8041,AFI1295,HO_Sent_Rh_05
MUX8041,AFI1296,HO_BLANK_02
MUX8041,AFI1297,HO_Sent_Rh_06
MUX8041,AFI1298,HO_Sent_Rh_07
MUX8041,AFI1299,HO_Sent_Rh_08
MUX8041,AFI1300,HO_Sent_Rh_09
MUX8041,AFI1301,HO_Sent_Rh_10
MUX8041,AFI1302,HO_Sent_Ro_01
MUX8041,AFI1303,HO_Sent_Ro_02
MUX8041,AFI1304,HO_Sent_Ro_03
MUX8041,AFI1305,HO_Sent_Ro_04
MUX8041,AFI1306,HO_Sent_Ro_05
MUX8041,AFI1307,HO_Sent_Ro_06
MUX8041,AFI1308,HO_Sent_Ro_07
MUX8041,AFI1309,HO_Sent_Ro_08
MUX8041,AFI1310,HO_Sent_Ro_09
MUX8041,AFI1311,HO_Sent_Ro_10
MUX8041,AFI1312,HO_Sent_Soil_01
MUX8041,AFI1313,HO_Sent_Soil_02
MUX8041,AFI1314,HO_Sent_Soil_03
MUX8041,AFI1315,HO_Sent_Soil_04
MUX8041,AFI1316,HO_Sent_Soil_05
MUX8041,AFI1317,HO_Sent_Soil_06
MUX8041,AFI1318,HO_Sent_Soil_07
MUX8041,AFI1319,HO_Sent_Soil_08
MUX8041,AFI1320,HO_Sent_Soil_09
MUX8041,AFI1321,HO_Sent_Soil_10
MUX8041,AFI1322,HO_LK_Le_01
MUX8041,AFI1323,HO_LK_Le_02
MUX8041,AFI1324,HO_LK_Le_03
MUX8041,AFI1325,HO_LK_Le_04
MUX8041,AFI1326,HO_LK_Le_05
MUX8041,AFI1327,HO_LK_Le_06
MUX8041,AFI1328,HO_BLANK_03
MUX8041,AFI1329,HO_LK_Le_07
MUX8041,AFI1330,HO_LK_Le_08
MUX8041,AFI1331,HO_LK_Le_09
MUX8041,AFI1332,HO_LK_Le_10
MUX8041,AFI1333,HO_LK_Rh_01
MUX8041,AFI1334,HO_LK_Rh_02
MUX8041,AFI1335,HO_LK_Rh_03
MUX8041,AFI1336,HO_LK_Rh_04
MUX8041,AFI1337,HO_LK_Rh_05
MUX8041,AFI1338,HO_LK_Rh_06
MUX8041,AFI1339,HO_LK_Rh_07
MUX8041,AFI1340,HO_LK_Rh_08
MUX8041,AFI1341,HO_LK_Rh_09
MUX8041,AFI1342,HO_LK_Rh_10
MUX8041,AFI1343,HO_LK_Ro_01
MUX8041,AFI1344,HO_LK_Ro_02
MUX8041,AFI1345,HO_LK_Ro_03
MUX8041,AFI1346,HO_LK_Ro_04
MUX8041,AFI1347,HO_LK_Ro_05
MUX8041,AFI1348,HO_LK_Ro_06
MUX8041,AFI1349,HO_LK_Ro_07
MUX8041,AFI1350,HO_LK_Ro_08
MUX8041,AFI1351,HO_LK_Ro_09
MUX8041,AFI1352,HO_LK_Ro_10
MUX8041,AFI1353,HO_LK_Soil_01
MUX8041,AFI1354,HO_LK_Soil_02
MUX8041,AFI1355,HO_LK_Soil_03
MUX8041,AFI1356,HO_LK_Soil_04
MUX8041,AFI1357,HO_LK_Soil_05
MUX8041,AFI1358,HO_LK_Soil_06
MUX8041,AFI1359,HO_LK_Soil_07
MUX8041,AFI1360,HO_BLANK_04
MUX8041,AFI1361,HO_LK_Soil_08
MUX8041,AFI1362,HO_LK_Soil_09
MUX8041,AFI1363,HO_LK_Soil_10
MUX8041,AFI1364,HO_CJ_Le_01
MUX8041,AFI1365,HO_CJ_Le_02
MUX8041,AFI1366,HO_CJ_Le_03
MUX8041,AFI1367,HO_CJ_Le_04
MUX8041,AFI1368,HO_CJ_Le_05
MUX8041,AFI1369,HO_CJ_Le_06
MUX8041,AFI1370,HO_CJ_Le_07
MUX8041,AFI1371,HO_CJ_Le_08
MUX8041,AFI1372,HO_CJ_Le_09
MUX8041,AFI1373,HO_CJ_Le_10
MUX8041,AFI1374,HO_CJ_Rh_01
MUX8041,AFI1375,HO_CJ_Rh_02
MUX8041,AFI1376,HO_CJ_Rh_03
MUX8041,AFI1377,HO_CJ_Rh_04
MUX8041,AFI1378,HO_CJ_Rh_05
MUX8041,AFI1379,HO_CJ_Rh_06
MUX8041,AFI1380,HO_CJ_Rh_07
MUX8041,AFI1381,HO_CJ_Rh_08
MUX8041,AFI1382,HO_CJ_Rh_09
MUX8041,AFI1383,HO_CJ_Rh_10
MUX8041,AFI1384,HO_CJ_Ro_01
MUX8041,AFI1385,HO_CJ_Ro_02
MUX8041,AFI1386,HO_CJ_Ro_03
MUX8041,AFI1387,HO_CJ_Ro_04
MUX8041,AFI1388,HO_CJ_Ro_05
MUX8041,AFI1389,HO_CJ_Ro_06
MUX8041,AFI1390,HO_CJ_Ro_07
MUX8041,AFI1391,HO_CJ_Ro_08
MUX8041,AFI1392,HO_BLANK_05
MUX8041,AFI1393,HO_CJ_Ro_09
MUX8041,AFI1394,HO_CJ_Ro_10
MUX8041,AFI1395,HO_CJ_Soil_01
MUX8041,AFI1396,HO_CJ_Soil_02
MUX8041,AFI1397,HO_CJ_Soil_03
MUX8041,AFI1398,HO_CJ_Soil_04
MUX8041,AFI1399,HO_CJ_Soil_05
MUX8041,AFI1400,HO_CJ_Soil_06
MUX8041,AFI1401,HO_CJ_Soil_07
MUX8041,AFI1402,HO_CJ_Soil_08
MUX8041,AFI1403,HO_CJ_Soil_09
MUX8041,AFI1404,HO_CJ_Soil_10
MUX8041,AFI1405,HO_MS_Le_01
MUX8041,AFI1406,HO_MS_Le_02
MUX8041,AFI1407,HO_MS_Le_03
MUX8041,AFI1408,HO_MS_Le_04
MUX8041,AFI1409,HO_MS_Le_05
MUX8041,AFI1410,HO_MS_Le_06
MUX8041,AFI1411,HO_MS_Le_07
MUX8041,AFI1412,HO_MS_Le_08
MUX8041,AFI1413,HO_MS_Le_09
MUX8041,AFI1414,HO_MS_Le_10
MUX8041,AFI1415,HO_MS_Rh_01
MUX8041,AFI1416,HO_MS_Rh_02
MUX8041,AFI1417,HO_MS_Rh_03
MUX8041,AFI1418,HO_MS_Rh_04
MUX8041,AFI1419,HO_MS_Rh_05
MUX8041,AFI1420,HO_MS_Rh_06
MUX8041,AFI1421,HO_MS_Rh_07
MUX8041,AFI1422,HO_MS_Rh_08
MUX8041,AFI1423,HO_MS_Rh_09
MUX8041,AFI1424,HO_BLANK_06
MUX8041,AFI1425,HO_MS_Rh_10
MUX8041,AFI1426,HO_MS_Ro_01
MUX8041,AFI1427,HO_MS_Ro_02
MUX8041,AFI1428,HO_MS_Ro_03
MUX8041,AFI1429,HO_MS_Ro_04
MUX8041,AFI1430,HO_MS_Ro_05
MUX8041,AFI1431,HO_MS_Ro_06
MUX8041,AFI1432,HO_MS_Ro_07
MUX8041,AFI1433,HO_MS_Ro_08
MUX8041,AFI1434,HO_MS_Ro_09
MUX8041,AFI1435,HO_MS_Ro_10
MUX8041,AFI1436,HO_MS_Soil_01
MUX8041,AFI1437,HO_MS_Soil_02
MUX8041,AFI1438,HO_MS_Soil_03
MUX8041,AFI1439,HO_MS_Soil_04
MUX8041,AFI1440,HO_MS_Soil_05
MUX8041,AFI1441,HO_MS_Soil_06
MUX8041,AFI1442,HO_MS_Soil_07
MUX8041,AFI1443,HO_MS_Soil_08
MUX8041,AFI1444,HO_MS_Soil_09
MUX8041,AFI1445,HO_MS_Soil_10
MUX8041,AFI1446,HO_Sem_Le_01
MUX8041,AFI1447,HO_Sem_Le_02
MUX8041,AFI1448,HO_BLANK_07
MUX8041,AFI1449,HO_Sem_Le_03
MUX8041,AFI1450,HO_Sem_Le_04
MUX8041,AFI1451,HO_Sem_Le_05
MUX8041,AFI1452,HO_Sem_Le_06
MUX8041,AFI1453,HO_Sem_Le_07
MUX8041,AFI1454,HO_Sem_Le_08
MUX8041,AFI1455,HO_Sem_Le_09
MUX8041,AFI1456,HO_Sem_Le_10
MUX8041,AFI1457,HO_Sem_Rh_01
MUX8041,AFI1458,HO_Sem_Rh_02
MUX8041,AFI1459,HO_Sem_Rh_03
MUX8041,AFI1460,HO_Sem_Rh_04
MUX8041,AFI1461,HO_Sem_Rh_05
MUX8041,AFI1462,HO_Sem_Rh_06
MUX8041,AFI1463,HO_Sem_Rh_07
MUX8041,AFI1464,HO_Sem_Rh_08
MUX8041,AFI1465,HO_Sem_Rh_09
MUX8041,AFI1466,HO_Sem_Rh_10
MUX8041,AFI1467,HO_Sem_Ro_01
MUX8041,AFI1468,HO_Sem_Ro_02
MUX8041,AFI1469,HO_Sem_Ro_03
MUX8041,AFI1470,HO_Sem_Ro_04
MUX8041,AFI1471,HO_Sem_Ro_05
MUX8041,AFI1472,HO_Sem_Ro_06
MUX8041,AFI1473,HO_Sem_Ro_07
MUX8041,AFI1474,HO_Sem_Ro_08
MUX8041,AFI1475,HO_Sem_Ro_09
MUX8041,AFI1476,HO_Sem_Ro_10
MUX8041,AFI1477,HO_SA_Sem_Soil_01
MUX8041,AFI1478,HO_SA_Sem_Soil_02
MUX8041,AFI1479,HO_SA_Sem_Soil_03
MUX8041,AFI1480,HO_SA_Sem_Soil_04
MUX8041,AFI1481,HO_SA_Sem_Soil_05
MUX8041,AFI1482,HO_SA_Sem_Soil_06
MUX8041,AFI1483,HO_SA_Sem_Soil_07
MUX8041,AFI1484,HO_SA_Sem_Soil_08
MUX8041,AFI1485,HO_SA_Sem_Soil_09
MUX8041,AFI1486,HO_SA_Sem_Soil_10
MUX8041,AFI1487,HO_Per_Le_01
MUX8041,AFI1488,HO_BLANK_08
MUX8041,AFI1489,HO_Per_Le_02
MUX8041,AFI1490,HO_Per_Le_03
MUX8041,AFI1491,HO_Per_Le_04
MUX8041,AFI1492,HO_Per_Le_05
MUX8041,AFI1493,HO_Per_Le_06
MUX8041,AFI1494,HO_Per_Le_07
MUX8041,AFI1495,HO_Per_Le_08
MUX8041,AFI1496,HO_Per_Le_09
MUX8041,AFI1497,HO_Per_Le_10
MUX8041,AFI1498,HO_Per_Rh_01
MUX8041,AFI1499,HO_Per_Rh_02
MUX8041,AFI1500,HO_Per_Rh_03
MUX8041,AFI1501,HO_Per_Rh_04
MUX8041,AFI1502,HO_Per_Rh_05
MUX8041,AFI1503,HO_Per_Rh_06
MUX8041,AFI1504,HO_Per_Rh_07
MUX8041,AFI1505,HO_Per_Rh_08
MUX8041,AFI1506,HO_Per_Rh_09
MUX8041,AFI1507,HO_Per_Rh_10
MUX8041,AFI1508,HO_Per_Ro_01
MUX8041,AFI1509,HO_Per_Ro_02
MUX8041,AFI1510,HO_Per_Ro_03
MUX8041,AFI1511,HO_Per_Ro_04
MUX8041,AFI1512,HO_Per_Ro_05
MUX8041,AFI1513,HO_Per_Ro_06
MUX8041,AFI1514,HO_Per_Ro_07
MUX8041,AFI1515,HO_Per_Ro_08
MUX8041,AFI1516,HO_Per_Ro_09
MUX8041,AFI1517,HO_Per_Ro_10
MUX8041,AFI1518,HO_Per_Soil_01
MUX8041,AFI1519,HO_Per_Soil_02
MUX8041,AFI1520,HO_BLANK_09
MUX8041,AFI1521,HO_Per_Soil_03
MUX8041,AFI1522,HO_Per_Soil_04
MUX8041,AFI1523,HO_Per_Soil_05
MUX8041,AFI1524,HO_Per_Soil_06
MUX8041,AFI1525,HO_Per_Soil_07
MUX8041,AFI1526,HO_Per_Soil_08
MUX8041,AFI1527,HO_Per_Soil_09
MUX8041,AFI1528,HO_Per_Soil_10
MUX8046,AFI1529,EA_CY_Le_01
MUX8046,AFI1530,EA_CY_Le_02
MUX8046,AFI1531,EA_CY_Le_03
MUX8046,AFI1532,EA_CY_Le_04
MUX8046,AFI1533,EA_CY_Le_05
MUX8046,AFI1534,EA_CY_Le_06
MUX8046,AFI1535,EA_CY_Le_07
MUX8046,AFI1536,EA_CY_Le_08
MUX8046,AFI1537,EA_CY_Le_09
MUX8046,AFI1538,EA_CY_Le_10
MUX8046,AFI1539,EA_CY_Rh_01
MUX8046,AFI1540,EA_CY_Rh_02
MUX8046,AFI1541,EA_CY_Rh_03
MUX8046,AFI1542,EA_CY_Rh_04
MUX8046,AFI1543,EA_CY_Rh_05
MUX8046,AFI1544,EA_CY_Rh_06
MUX8046,AFI1545,EA_CY_Rh_07
MUX8046,AFI1546,EA_CY_Rh_08
MUX8046,AFI1547,EA_CY_Rh_09
MUX8046,AFI1548,EA_CY_Rh_10
MUX8046,AFI1549,EA_CY_Ro_01
MUX8046,AFI1550,EA_CY_Ro_02
MUX8046,AFI1551,EA_CY_Ro_03
MUX8046,AFI1552,EA_CY_Ro_04
MUX8046,AFI1553,EA_BLANK_01
MUX8046,AFI1554,EA_CY_Ro_05
MUX8046,AFI1555,EA_CY_Ro_06
MUX8046,AFI1556,EA_CY_Ro_07
MUX8046,AFI1557,EA_CY_Ro_08
MUX8046,AFI1558,EA_CY_Ro_09
MUX8046,AFI1559,EA_CY_Ro_10
MUX8046,AFI1560,EA_CY_Soil_01
MUX8046,AFI1561,EA_CY_Soil_02
MUX8046,AFI1562,EA_CY_Soil_03
MUX8046,AFI1563,EA_CY_Soil_04
MUX8046,AFI1564,EA_CY_Soil_05
MUX8046,AFI1565,EA_CY_Soil_06
MUX8046,AFI1566,EA_CY_Soil_07
MUX8046,AFI1567,EA_CY_Soil_08
MUX8046,AFI1568,EA_CY_Soil_09
MUX8046,AFI1569,EA_CY_Soil_10
MUX8046,AFI1570,EA_Sent_Le_01
MUX8046,AFI1571,EA_Sent_Le_02
MUX8046,AFI1572,EA_Sent_Le_03
MUX8046,AFI1573,EA_Sent_Le_04
MUX8046,AFI1574,EA_Sent_Le_05
MUX8046,AFI1575,EA_Sent_Le_06
MUX8046,AFI1576,EA_Sent_Le_07
MUX8046,AFI1577,EA_Sent_Le_08
MUX8046,AFI1578,EA_Sent_Le_09
MUX8046,AFI1579,EA_Sent_Le_10
MUX8046,AFI1580,EA_Sent_Rh_01
MUX8046,AFI1581,EA_Sent_Rh_02
MUX8046,AFI1582,EA_Sent_Rh_03
MUX8046,AFI1583,EA_Sent_Rh_04
MUX8046,AFI1584,EA_Sent_Rh_05
MUX8046,AFI1585,EA_BLANK_02
MUX8046,AFI1586,EA_Sent_Rh_06
MUX8046,AFI1587,EA_Sent_Rh_07
MUX8046,AFI1588,EA_Sent_Rh_08
MUX8046,AFI1589,EA_Sent_Rh_09
MUX8046,AFI1590,EA_Sent_Rh_10
MUX8046,AFI1591,EA_Sent_Ro_01
MUX8046,AFI1592,EA_Sent_Ro_02
MUX8046,AFI1593,EA_Sent_Ro_03
MUX8046,AFI1594,EA_Sent_Ro_04
MUX8046,AFI1595,EA_Sent_Ro_05
MUX8046,AFI1596,EA_Sent_Ro_06
MUX8046,AFI1597,EA_Sent_Ro_07
MUX8046,AFI1598,EA_Sent_Ro_08
MUX8046,AFI1599,EA_Sent_Ro_09
MUX8046,AFI1600,EA_Sent_Ro_10
MUX8046,AFI1601,EA_Sent_Soil_01
MUX8046,AFI1602,EA_Sent_Soil_02
MUX8046,AFI1603,EA_Sent_Soil_03
MUX8046,AFI1604,EA_Sent_Soil_04
MUX8046,AFI1605,EA_Sent_Soil_05
MUX8046,AFI1606,EA_Sent_Soil_06
MUX8046,AFI1607,EA_Sent_Soil_07
MUX8046,AFI1608,EA_Sent_Soil_08
MUX8046,AFI1609,EA_Sent_Soil_09
MUX8046,AFI1610,EA_Sent_Soil_10
MUX8046,AFI1611,EA_PD_Le_01
MUX8046,AFI1612,EA_PD_Le_02
MUX8046,AFI1613,EA_PD_Le_03
MUX8046,AFI1614,EA_PD_Le_04
MUX8046,AFI1615,EA_PD_Le_05
MUX8046,AFI1616,EA_PD_Le_06
MUX8046,AFI1617,EA_BLANK_03
MUX8046,AFI1618,EA_PD_Le_07
MUX8046,AFI1619,EA_PD_Le_08
MUX8046,AFI1620,EA_PD_Le_09
MUX8046,AFI1621,EA_PD_Le_10
MUX8046,AFI1622,EA_PD_Rh_01
MUX8046,AFI1623,EA_PD_Rh_02
MUX8046,AFI1624,EA_PD_Rh_03
MUX8046,AFI1625,EA_PD_Rh_04
MUX8046,AFI1626,EA_PD_Rh_05
MUX8046,AFI1627,EA_PD_Rh_06
MUX8046,AFI1628,EA_PD_Rh_07
MUX8046,AFI1629,EA_PD_Rh_08
MUX8046,AFI1630,EA_PD_Rh_09
MUX8046,AFI1631,EA_PD_Rh_10
MUX8046,AFI1632,EA_PD_Ro_01
MUX8046,AFI1633,EA_PD_Ro_02
MUX8046,AFI1634,EA_PD_Ro_03
MUX8046,AFI1635,EA_PD_Ro_04
MUX8046,AFI1636,EA_PD_Ro_05
MUX8046,AFI1637,EA_PD_Ro_06
MUX8046,AFI1638,EA_PD_Ro_07
MUX8046,AFI1639,EA_PD_Ro_08
MUX8046,AFI1640,EA_PD_Ro_09
MUX8046,AFI1641,EA_PD_Ro_10
MUX8046,AFI1642,EA_PD_Soil_01
MUX8046,AFI1643,EA_PD_Soil_02
MUX8046,AFI1644,EA_PD_Soil_03
MUX8046,AFI1645,EA_PD_Soil_04
MUX8046,AFI1646,EA_PD_Soil_05
MUX8046,AFI1647,EA_PD_Soil_06
MUX8046,AFI1648,EA_PD_Soil_07
MUX8046,AFI1649,EA_BLANK_04
MUX8046,AFI1650,EA_PD_Soil_08
MUX8046,AFI1651,EA_PD_Soil_09
MUX8046,AFI1652,EA_PD_Soil_10
MUX8046,AFI1653,EA_MS_Le_01
MUX8046,AFI1654,EA_MS_Le_02
MUX8046,AFI1655,EA_MS_Le_03
MUX8046,AFI1656,EA_MS_Le_04
MUX8046,AFI1657,EA_MS_Le_05
MUX8046,AFI1658,EA_MS_Le_06
MUX8046,AFI1659,EA_MS_Le_07
MUX8046,AFI1660,EA_MS_Le_08
MUX8046,AFI1661,EA_MS_Le_09
MUX8046,AFI1662,EA_MS_Le_10
MUX8046,AFI1663,EA_MS_Rh_01
MUX8046,AFI1664,EA_MS_Rh_02
MUX8046,AFI1665,EA_MS_Rh_03
MUX8046,AFI1666,EA_MS_Rh_04
MUX8046,AFI1667,EA_MS_Rh_05
MUX8046,AFI1668,EA_MS_Rh_06
MUX8046,AFI1669,EA_MS_Rh_07
MUX8046,AFI1670,EA_MS_Rh_08
MUX8046,AFI1671,EA_MS_Rh_09
MUX8046,AFI1672,EA_MS_Rh_10
MUX8046,AFI1673,EA_MS_Ro_01
MUX8046,AFI1674,EA_MS_Ro_02
MUX8046,AFI1675,EA_MS_Ro_03
MUX8046,AFI1676,EA_MS_Ro_04
MUX8046,AFI1677,EA_MS_Ro_05
MUX8046,AFI1678,EA_MS_Ro_06
MUX8046,AFI1679,EA_MS_Ro_07
MUX8046,AFI1680,EA_MS_Ro_08
MUX8046,AFI1681,EA_BLANK_05
MUX8046,AFI1682,EA_MS_Ro_09
MUX8046,AFI1683,EA_MS_Ro_10
MUX8046,AFI1684,EA_MS_Soil_01
MUX8046,AFI1685,EA_MS_Soil_02
MUX8046,AFI1686,EA_MS_Soil_03
MUX8046,AFI1687,EA_MS_Soil_04
MUX8046,AFI1688,EA_MS_Soil_05
MUX8046,AFI1689,EA_MS_Soil_06
MUX8046,AFI1690,EA_MS_Soil_07
MUX8046,AFI1691,EA_MS_Soil_08
MUX8046,AFI1692,EA_MS_Soil_09
MUX8046,AFI1693,EA_MS_Soil_10
MUX8046,AFI1694,EA_Sem_Le_01
MUX8046,AFI1695,EA_Sem_Le_02
MUX8046,AFI1696,EA_Sem_Le_03
MUX8046,AFI1697,EA_Sem_Le_04
MUX8046,AFI1698,EA_Sem_Le_05
MUX8046,AFI1699,EA_Sem_Le_06
MUX8046,AFI1700,EA_Sem_Le_07
MUX8046,AFI1701,EA_Sem_Le_08
MUX8046,AFI1702,EA_Sem_Le_09
MUX8046,AFI1703,EA_Sem_Le_10
MUX8046,AFI1704,EA_Sem_Rh_01
MUX8046,AFI1705,EA_Sem_Rh_02
MUX8046,AFI1706,EA_Sem_Rh_03
MUX8046,AFI1707,EA_Sem_Rh_04
MUX8046,AFI1708,EA_Sem_Rh_05
MUX8046,AFI1709,EA_Sem_Rh_06
MUX8046,AFI1710,EA_Sem_Rh_07
MUX8046,AFI1711,EA_Sem_Rh_08
MUX8046,AFI1712,EA_Sem_Rh_09
MUX8046,AFI1713,EA_BLANK_06
MUX8046,AFI1714,EA_Sem_Rh_10
MUX8046,AFI1715,EA_Sem_Ro_01
MUX8046,AFI1716,EA_Sem_Ro_02
MUX8046,AFI1717,EA_Sem_Ro_03
