"","input","filtered","nonchim","filter.loss"
"AFI1529_filt.fastq.gz",21032,19121,19052,0.0908615443134272
"AFI1530_filt.fastq.gz",14537,12675,12622,0.128086950540001
"AFI1531_filt.fastq.gz",35670,32007,31902,0.1026913372582
"AFI1532_filt.fastq.gz",24752,22519,22519,0.0902149321266968
"AFI1533_filt.fastq.gz",20353,18419,18401,0.0950228467547782
"AFI1534_filt.fastq.gz",27313,22761,21006,0.166660564566324
"AFI1535_filt.fastq.gz",25975,22533,22302,0.132512030798845
"AFI1536_filt.fastq.gz",7365,6464,6464,0.122335369993211
"AFI1537_filt.fastq.gz",31558,28041,27984,0.111445592242854
"AFI1538_filt.fastq.gz",28011,25056,25056,0.105494270108172
"AFI1539_filt.fastq.gz",2482,2342,2342,0.056406124093473
"AFI1540_filt.fastq.gz",31861,28385,28366,0.109098898339663
"AFI1541_filt.fastq.gz",21598,18710,18625,0.133716084822669
"AFI1542_filt.fastq.gz",40111,34395,34034,0.142504549874099
"AFI1543_filt.fastq.gz",42336,37308,36794,0.118764172335601
"AFI1544_filt.fastq.gz",7116,6023,6023,0.153597526700393
"AFI1545_filt.fastq.gz",36982,32474,32250,0.121897139148775
"AFI1546_filt.fastq.gz",28204,24547,24279,0.129662459225642
"AFI1547_filt.fastq.gz",42249,34982,34341,0.172004071102275
"AFI1548_filt.fastq.gz",83788,75793,75016,0.0954193917983482
"AFI1549_filt.fastq.gz",26558,24078,23912,0.0933805256419911
"AFI1550_filt.fastq.gz",67695,60267,59560,0.109727454021715
"AFI1551_filt.fastq.gz",37633,33620,33369,0.106635134057875
"AFI1552_filt.fastq.gz",19612,17954,17930,0.0845400775035692
"AFI1553_filt.fastq.gz",108,12,12,0.888888888888889
"AFI1554_filt.fastq.gz",54608,49811,49776,0.0878442719015529
"AFI1555_filt.fastq.gz",48382,44436,44351,0.0815592575751312
"AFI1556_filt.fastq.gz",49675,44949,44949,0.095138399597383
"AFI1557_filt.fastq.gz",50588,45644,45390,0.097730687119475
"AFI1558_filt.fastq.gz",59398,52833,52691,0.110525606922792
"AFI1559_filt.fastq.gz",63367,58491,58050,0.0769485694446636
"AFI1560_filt.fastq.gz",31555,27089,27089,0.14153066075107
"AFI1561_filt.fastq.gz",55963,48772,48772,0.128495613172989
"AFI1562_filt.fastq.gz",72831,62609,62609,0.140352322500034
"AFI1563_filt.fastq.gz",69791,60151,59828,0.138126692553481
"AFI1564_filt.fastq.gz",49856,43378,43378,0.129934210526316
"AFI1565_filt.fastq.gz",31246,26799,26799,0.142322217243807
"AFI1566_filt.fastq.gz",30142,25900,25900,0.140733859730608
"AFI1567_filt.fastq.gz",49475,42456,42456,0.141869631126832
"AFI1568_filt.fastq.gz",44726,38395,38395,0.141550775835085
"AFI1569_filt.fastq.gz",63784,55019,55019,0.137416907061332
"AFI1570_filt.fastq.gz",12327,10454,10454,0.151942889591953
"AFI1571_filt.fastq.gz",20811,18430,18430,0.114410648214886
"AFI1572_filt.fastq.gz",47580,40098,40098,0.157250945775536
"AFI1573_filt.fastq.gz",8377,7248,7248,0.134773785364689
"AFI1574_filt.fastq.gz",19561,16226,16226,0.170492306119319
"AFI1575_filt.fastq.gz",10063,8901,8901,0.115472523104442
"AFI1576_filt.fastq.gz",9289,7643,7643,0.177198837334482
"AFI1577_filt.fastq.gz",12502,11041,11041,0.116861302191649
"AFI1578_filt.fastq.gz",21840,18960,18960,0.131868131868132
"AFI1579_filt.fastq.gz",6199,5347,5347,0.137441522826262
"AFI1580_filt.fastq.gz",27544,24036,24036,0.127359860586698
"AFI1581_filt.fastq.gz",13876,12059,12059,0.130945517440184
"AFI1582_filt.fastq.gz",26347,23201,23201,0.119406384028542
