ID,Location,Country,Sp,Source,Lat,Lon,input,filtered,nonchim,filter.loss
EA_CY_Le_01,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,21032,19121,19052,0.0908615443
EA_CY_Le_02,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,14537,12675,12622,0.1280869505
EA_CY_Le_03,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,35670,32007,31902,0.1026913373
EA_CY_Le_04,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,24752,22519,22519,0.0902149321
EA_CY_Le_05,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,20353,18419,18401,0.0950228468
EA_CY_Le_06,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,27313,22761,21006,0.1666605646
EA_CY_Le_07,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,25975,22533,22302,0.1325120308
EA_CY_Le_08,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,7365,6464,6464,0.12233537
EA_CY_Le_09,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,31558,28041,27984,0.1114455922
EA_CY_Le_10,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,28011,25056,25056,0.1054942701
EA_CY_Rh_01,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,2482,2342,2342,0.0564061241
EA_CY_Rh_02,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,31861,28385,28366,0.1090988983
EA_CY_Rh_03,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,21598,18710,18625,0.1337160848
EA_CY_Rh_04,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,40111,34395,34034,0.1425045499
EA_CY_Rh_05,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,42336,37308,36794,0.1187641723
